params,rmse_cv
"gbtr_6250ad0f77e9-maxDepth: 2,
	gbtr_6250ad0f77e9-maxIter: 50,
	gbtr_6250ad0f77e9-stepSize: 0.1",0.424287728583105
"gbtr_6250ad0f77e9-maxDepth: 2,
	gbtr_6250ad0f77e9-maxIter: 50,
	gbtr_6250ad0f77e9-stepSize: 0.05",0.42433678204464115
"gbtr_6250ad0f77e9-maxDepth: 2,
	gbtr_6250ad0f77e9-maxIter: 50,
	gbtr_6250ad0f77e9-stepSize: 0.15000000000000002",0.42447718358821634
"gbtr_6250ad0f77e9-maxDepth: 2,
	gbtr_6250ad0f77e9-maxIter: 100,
	gbtr_6250ad0f77e9-stepSize: 0.1",0.4247180479910731
"gbtr_6250ad0f77e9-maxDepth: 2,
	gbtr_6250ad0f77e9-maxIter: 100,
	gbtr_6250ad0f77e9-stepSize: 0.05",0.42583192736698944
"gbtr_6250ad0f77e9-maxDepth: 2,
	gbtr_6250ad0f77e9-maxIter: 100,
	gbtr_6250ad0f77e9-stepSize: 0.15000000000000002",0.42694057330902707
"gbtr_6250ad0f77e9-maxDepth: 3,
	gbtr_6250ad0f77e9-maxIter: 50,
	gbtr_6250ad0f77e9-stepSize: 0.05",0.43156799571696675
"gbtr_6250ad0f77e9-maxDepth: 3,
	gbtr_6250ad0f77e9-maxIter: 100,
	gbtr_6250ad0f77e9-stepSize: 0.05",0.4333811134639655
"gbtr_6250ad0f77e9-maxDepth: 3,
	gbtr_6250ad0f77e9-maxIter: 50,
	gbtr_6250ad0f77e9-stepSize: 0.15000000000000002",0.439471561965689
"gbtr_6250ad0f77e9-maxDepth: 3,
	gbtr_6250ad0f77e9-maxIter: 100,
	gbtr_6250ad0f77e9-stepSize: 0.15000000000000002",0.44036810132396803
"gbtr_6250ad0f77e9-maxDepth: 4,
	gbtr_6250ad0f77e9-maxIter: 50,
	gbtr_6250ad0f77e9-stepSize: 0.15000000000000002",0.4498926359633871
"gbtr_6250ad0f77e9-maxDepth: 4,
	gbtr_6250ad0f77e9-maxIter: 100,
	gbtr_6250ad0f77e9-stepSize: 0.15000000000000002",0.44997342460260287
"gbtr_6250ad0f77e9-maxDepth: 3,
	gbtr_6250ad0f77e9-maxIter: 50,
	gbtr_6250ad0f77e9-stepSize: 0.1",0.4504776468640559
"gbtr_6250ad0f77e9-maxDepth: 3,
	gbtr_6250ad0f77e9-maxIter: 100,
	gbtr_6250ad0f77e9-stepSize: 0.1",0.4518670119373788
"gbtr_6250ad0f77e9-maxDepth: 4,
	gbtr_6250ad0f77e9-maxIter: 50,
	gbtr_6250ad0f77e9-stepSize: 0.1",0.4526653278434825
"gbtr_6250ad0f77e9-maxDepth: 4,
	gbtr_6250ad0f77e9-maxIter: 100,
	gbtr_6250ad0f77e9-stepSize: 0.1",0.45280374653818106
"gbtr_6250ad0f77e9-maxDepth: 4,
	gbtr_6250ad0f77e9-maxIter: 50,
	gbtr_6250ad0f77e9-stepSize: 0.05",0.4529112037736171
"gbtr_6250ad0f77e9-maxDepth: 4,
	gbtr_6250ad0f77e9-maxIter: 100,
	gbtr_6250ad0f77e9-stepSize: 0.05",0.4541623411207761
